Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
CTX-M-126	ARO:3001985	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-126 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-129	ARO:3001988	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-129 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-13	ARO:3001876	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-13 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-130	ARO:3001989	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-130 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-131	ARO:3001990	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-131 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-2-like	ESBL	A
CTX-M-132	ARO:3001991	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-132 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-134	ARO:3001992	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-134 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-136	ARO:3001995	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-136 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-137	ARO:3001994	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-137 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-139	ARO:3001997	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-139 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-14	ARO:3001877	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-14 is a beta-lactamase found in the Enterobacteriaceae family	A			
CTX-M-141	ARO:3001999	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-141 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-2-like	ESBL	A
CTX-M-142	ARO:3002000	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-142 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-144	ARO:3002002	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-144 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-147	ARO:3002005	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-147 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-148	ARO:3002006	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-148 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-15	ARO:3001878	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-15 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-151	ARO:3002008	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-151 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-151-like	ESBL	A
CTX-M-152	ARO:3002009	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-152 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A			
CTX-M-155	ARO:3003163	CTX-M beta-lactamase	cephalosporin	inactivation	From the Lahey list of beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-156	ARO:3003164	CTX-M beta-lactamase	cephalosporin	inactivation	From the Lahey list of beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-157	ARO:3003165	CTX-M beta-lactamase	cephalosporin	inactivation	From the Lahey list of beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-158	ARO:3003166	CTX-M beta-lactamase	cephalosporin	inactivation	From the Lahey list of beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-159	ARO:3003167	CTX-M beta-lactamase	cephalosporin	inactivation	From the Lahey list of beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-16	ARO:3001879	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-16 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-160	ARO:3003168	CTX-M beta-lactamase	cephalosporin	inactivation	From the Lahey list of beta-lactamases.	A	CTX-M-8-like	ESBL	A
CTX-M-17	ARO:3001880	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-17 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-9-like	ESBL	A
CTX-M-19	ARO:3001881	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-19 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-9-like	ESBL	A
CTX-M-2	ARO:3001865	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-2 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-2-like	ESBL	A
CTX-M-20	ARO:3001882	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-20 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-2-like	ESBL	A
CTX-M-21	ARO:3001883	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-21 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-22	ARO:3001884	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-22 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-23	ARO:3001885	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-23 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-24	ARO:3001886	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-24 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-25	ARO:3001887	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-25 is a beta-lactamase found in E.coli	A	CTX-M-8-like	ESBL	A
CTX-M-26	ARO:3001888	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-26 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-8-like	ESBL	A
CTX-M-27	ARO:3001889	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-27 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-28	ARO:3001890	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-28 is a beta-lactamase found in Salmonella enterica	A	CTX-M-1-like	ESBL	A
CTX-M-29	ARO:3001891	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-29 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-3	ARO:3001866	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-3 is a beta-lactamase found in Citrobacter freundii	A			
CTX-M-30	ARO:3001892	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-30 is a beta-lactamase found in Citrobacter freundii	A	CTX-M-1-like	ESBL	A
CTX-M-31	ARO:3001893	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-31 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-2-like	ESBL	A
CTX-M-32	ARO:3001894	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-32 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-33	ARO:3001895	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-33 is a beta-lactamase found in Salmonella enterica	A	CTX-M-1-like	ESBL	A
CTX-M-34	ARO:3001896	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-34 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-35	ARO:3001897	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-35 is a beta-lactamase found in Citrobacter koseri	A	CTX-M-2-like	ESBL	A
CTX-M-36	ARO:3001898	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-36 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-37	ARO:3001899	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-37 is a beta-lactamase found in Salmonella enterica	A			
CTX-M-38	ARO:3001900	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-38 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-39	ARO:3001901	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-39 is a beta-lactamase found in E.coli	A	CTX-M-8-like	ESBL	A
CTX-M-4	ARO:3001867	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-4 is a beta-lactamase found in Salmonella typhimurium	A	CTX-M-2-like	ESBL	A
CTX-M-40	ARO:3001902	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-40 is a beta-lactamase found in E.coli	A	CTX-M-8-like	ESBL	A
CTX-M-41	ARO:3001903	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-41 is a beta-lactamase found in Proteus mirabilis	A	CTX-M-8-like	ESBL	A
CTX-M-42	ARO:3001904	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-42 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-43	ARO:3001905	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-43 is a beta-lactamase found in P. aeruginosa and A. spp.	A	CTX-M-2-like	ESBL	A
CTX-M-44	ARO:3001906	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-44 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-2-like	ESBL	A
CTX-M-45	ARO:3001907	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-45 is a beta-lactamase found in E.coli				
CTX-M-46	ARO:3001908	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-46 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-47	ARO:3001909	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-47 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-48	ARO:3001910	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-48 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-49	ARO:3001911	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-49 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-5	ARO:3001868	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-5 is a beta-lactamase found in Salmonella typhimurium	A			
CTX-M-50	ARO:3001912	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-50 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-51	ARO:3001913	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-51 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-9-like	ESBL	A
CTX-M-52	ARO:3001914	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-52 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-53	ARO:3001915	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-53 is a beta-lactamase found in Salmonella enterica	A	CTX-M-1-like	ESBL	A
CTX-M-54	ARO:3001916	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-54 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-1-like	ESBL	A
CTX-M-55	ARO:3001917	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-55 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-56	ARO:3001918	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-56 is a beta-lactamase found in E.coli	A	CTX-M-2-like	ESBL	A
CTX-M-58	ARO:3001919	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-58 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-59	ARO:3001920	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-59 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-2-like	ESBL	A
CTX-M-6	ARO:3001869	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-6 is a beta-lactamase found in Salmonella typhimurium	A	CTX-M-2-like	ESBL	A
CTX-M-60	ARO:3001921	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-60 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-61	ARO:3001922	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-61 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-62	ARO:3001923	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-62 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-63	ARO:3001924	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-63 is a beta-lactamase found in Salmonella enterica	A	CTX-M-8-like	ESBL	A
CTX-M-64	ARO:3001925	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-64 is a beta-lactamase found in Shigella sonnei	A	CTX-M-1-like	ESBL	A
CTX-M-65	ARO:3001926	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-65 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-66	ARO:3001927	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-66 is a beta-lactamase found in Proteus mirabilis	A	CTX-M-1-like	ESBL	A
CTX-M-67	ARO:3001928	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-67 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-68	ARO:3001929	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-68 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-69	ARO:3001930	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-69 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-7	ARO:3001870	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-7 is a beta-lactamase found in Salmonella typhimurium	A	CTX-M-2-like	ESBL	A
CTX-M-71	ARO:3001932	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-71 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-1-like	ESBL	A
CTX-M-72	ARO:3001933	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-72 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-1-like	ESBL	A
CTX-M-74	ARO:3001935	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-74 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-2-like	ESBL	A
CTX-M-75	ARO:3001936	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-75 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-2-like	ESBL	A
CTX-M-76	ARO:3001937	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-76 is a beta-lactamase found in Kluyvera spp.	A			
CTX-M-77	ARO:3001938	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-77 is a beta-lactamase found in Kluyvera spp.	A			
CTX-M-78	ARO:3001939	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-78 is a beta-lactamase found in Kluyvera georgiana	A			
CTX-M-79	ARO:3001940	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-79 is a beta-lactamase found in E.coli	A	CTX-M-1-like	ESBL	A
CTX-M-8	ARO:3001871	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-8 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-8-like	ESBL	A
CTX-M-80	ARO:3001941	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-80 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-1-like	ESBL	A
CTX-M-81	ARO:3001942	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-81 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-9-like	ESBL	A
CTX-M-82	ARO:3001943	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-82 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-1-like	ESBL	A
CTX-M-83	ARO:3001944	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-83 is a beta-lactamase found in Salmonella enterica	A	CTX-M-9-like	ESBL	A
CTX-M-84	ARO:3001945	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-84 is a beta-lactamase found in Salmonella enterica	A	CTX-M-9-like	ESBL	A
CTX-M-85	ARO:3002495	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-85 is a beta-lactamase found in Salmonella enterica	A	CTX-M-9-like	ESBL	A
CTX-M-86	ARO:3001946	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-86 is a beta-lactamase found in Salmonella enterica	A	CTX-M-9-like	ESBL	A
CTX-M-87	ARO:3001947	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-87 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-88	ARO:3001948	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-88 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-89	ARO:3001949	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-89 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-8-like	ESBL	A
CTX-M-9	ARO:3001872	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-9 is a beta-lactamase found in the Enterobacteriaceae family	A	CTX-M-9-like	ESBL	A
CTX-M-90	ARO:3001950	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-90 is a beta-lactamase found in Proteus mirabilis	A	CTX-M-9-like	ESBL	A
CTX-M-91	ARO:3001951	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-91 is a beta-lactamase found in E.coli	A	CTX-M-8-like	ESBL	A
CTX-M-92	ARO:3001952	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-92 is a beta-lactamase found in E.coli	A	CTX-M-2-like	ESBL	A
CTX-M-93	ARO:3001953	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-93 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-94	ARO:3001954	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-94 is a beta-lactamase found in E.coli	A	CTX-M-8-like	ESBL	A
CTX-M-95	ARO:3001955	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-95 is a beta-lactamase found in Kluyvera spp.	A			
CTX-M-96	ARO:3001956	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-96 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.	A	CTX-M-1-like	ESBL	A
CTX-M-98	ARO:3001957	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-98 is a beta-lactamase found in E.coli	A	CTX-M-9-like	ESBL	A
CTX-M-99	ARO:3001958	CTX-M beta-lactamase	cephalosporin	inactivation	CTX-M-99 is a beta-lactamase found in Klebsiella pneumoniae	A	CTX-M-9-like	ESBL	A
cyaA	ARO:3003900	cya adenylate cyclase	fosfomycin	target alteration	CyaA (adenylate cyclase) is involved w/ the synthesis of cyclic AMP which regulates the fosfomycin transporter glpT. As a result, mutations to cyaA confer resistance to fosfomycin.				
cyaA	ARO:3003900	cya adenylate cyclase	fosfomycin	target alteration	CyaA (adenylate cyclase) is involved w/ the synthesis of cyclic AMP which regulates the fosfomycin transporter glpT. As a result, mutations to cyaA confer resistance to fosfomycin.				
folP	ARO:3003389	dapsone resistant dihydropteroate synthase folP	sulfone	target alteration	Dapsone inhibits bacterial synthesis of dihydrofolic acid by competing w/ w/ para-aminobenzoate for the active site of dihydropteroate synthetase. Point mutation w/in the Mycobacterium leprae folP gene results in lowered affinity of dapsone for folP.				
agrA	ARO:3003803	daptomycin resistant agrA	peptide	target alteration	agrA is an autoinducer in a peptide-quorum two-component regulatory system whose mutations confer daptomycin resistance.				
rpoB	ARO:3003287	daptomycin resistant beta-subunit of RNA polymerase (rpoB)	peptide;rifamycin	target alteration	Point mutations that occurs in S.aureus rpoB resulting in resistance to daptomycin				
rpoB	ARO:3003285	daptomycin resistant beta-subunit of RNA polymerase (rpoB)	peptide;rifamycin	target alteration	Point mutations that occurs in S.aureus rpoB resulting in resistance to rifampicin				
CdsA	ARO:3004097	daptomycin resistant CdsA	peptide	target alteration	CdsA is a phosphatidate cytidylyltransferase which plays a role in the production of membrane phosphatidylglycerol and cardiolipin.				
cls	ARO:3003760	daptomycin resistant cls	peptide	target alteration	cls or cardiolipin synthase is an inner membrane protein involved in membrane synthesis and phosopholipid metabolism, w/ mutations to the gene being capable of conferring daptomycin resistance.				
cls	ARO:3003092	daptomycin resistant cls	peptide	target alteration	cls or cardiolipin synthetase is an inner membrane protein that is involved in membrane synthesis. Specific mutations in Enterococcus can confer resistance to daptomycin.				
cls	ARO:3003074	daptomycin resistant cls	peptide	target alteration	cls or cardiolipin synthetase is an inner membrane protein that is involved in membrane synthesis. Specific mutations in S. aureus can confer resistance to daptomycin.				
drmA	ARO:3003813	daptomycin resistant drmA	peptide	target alteration	drmA is an uncharacterized 6-pass membrane protein, w/ mutations to the protein causing modest resistance to daptomycin.				
